transition_id,previous_grade,new_grade,transition_type,shift,target_value,actual_value,production_speed,time_to_target_min,process_variability,stabilization_time_min,target_gap_pct,stable_flag,operational_impact_score
42,Grade_D,Grade_E,Grade_D → Grade_E,Day,109.24,109.19,408.03,20.41,4.18,48.51,0.05,1,45.36
43,Grade_D,Grade_B,Grade_D → Grade_B,Day,100.35,107.71,398.89,18.44,16.23,59.07,7.34,0,98.65
44,Grade_B,Grade_D,Grade_B → Grade_D,Day,97.17,97.57,435.85,32.23,7.1,65.83,0.41,1,58.31
45,Grade_A,Grade_B,Grade_A → Grade_B,Evening,98.94,97.97,406.12,41.21,13.84,77.54,0.98,0,93.34
46,Grade_E,Grade_A,Grade_E → Grade_A,Day,102.23,100.8,417.66,28.26,4.7,43.96,1.4,1,35.69
47,Grade_C,Grade_A,Grade_C → Grade_A,Evening,106.17,110.27,424.32,37.47,6.67,62.58,3.86,1,56.42
48,Grade_E,Grade_A,Grade_E → Grade_A,Evening,90.0,88.29,382.71,29.07,4.75,54.03,1.9,1,47.98
49,Grade_D,Grade_B,Grade_D → Grade_B,Day,89.58,87.95,449.27,29.59,6.42,57.75,1.82,1,56.1
50,Grade_D,Grade_E,Grade_D → Grade_E,Night,111.05,112.77,560.0,24.95,8.63,54.71,1.55,1,64.37
51,Grade_D,Grade_E,Grade_D → Grade_E,Evening,95.88,89.36,322.27,41.64,10.04,110.22,6.8,0,109.48
52,Grade_A,Grade_C,Grade_A → Grade_C,Day,85.83,90.09,437.82,27.17,9.55,55.39,4.96,1,60.52
53,Grade_B,Grade_D,Grade_B → Grade_D,Day,104.44,106.76,378.19,31.24,10.62,78.73,2.22,0,88.63
54,Grade_C,Grade_A,Grade_C → Grade_A,Day,104.63,107.12,451.76,18.94,7.92,28.24,2.38,1,43.08
55,Grade_C,Grade_A,Grade_C → Grade_A,Day,84.69,86.59,422.56,31.85,9.7,53.4,2.24,1,62.03
56,Grade_A,Grade_B,Grade_A → Grade_B,Day,102.29,101.75,461.9,28.7,9.62,44.12,0.53,1,55.12
57,Grade_C,Grade_E,Grade_C → Grade_E,Night,107.36,103.59,484.65,32.25,10.13,106.66,3.51,1,91.87
58,Grade_A,Grade_C,Grade_A → Grade_C,Day,103.74,102.91,430.58,38.4,16.94,76.2,0.8,0,108.17
59,Grade_D,Grade_B,Grade_D → Grade_B,Day,106.32,103.42,482.26,27.55,8.49,63.68,2.72,1,65.96
60,Grade_D,Grade_B,Grade_D → Grade_B,Evening,85.96,88.0,291.06,27.21,11.97,67.66,2.37,0,92.69
61,Grade_E,Grade_A,Grade_E → Grade_A,Evening,103.31,108.73,507.47,41.29,19.2,84.8,5.25,0,112.8
62,Grade_D,Grade_B,Grade_D → Grade_B,Night,96.97,105.47,440.63,38.82,16.44,95.48,8.76,0,119.82
63,Grade_B,Grade_D,Grade_B → Grade_D,Evening,95.17,95.73,479.28,25.09,4.33,69.57,0.59,1,58.65
64,Grade_E,Grade_A,Grade_E → Grade_A,Day,108.71,111.2,352.91,38.09,7.69,47.6,2.29,1,56.94
65,Grade_C,Grade_A,Grade_C → Grade_A,Day,114.79,113.95,374.31,24.81,8.07,37.27,0.73,1,52.23
66,Grade_B,Grade_D,Grade_B → Grade_D,Night,117.94,115.3,428.03,28.75,15.77,75.28,2.24,0,95.74
67,Grade_E,Grade_A,Grade_E → Grade_A,Evening,113.15,115.43,419.06,37.82,13.74,68.44,2.01,0,86.42
68,Grade_B,Grade_D,Grade_B → Grade_D,Night,98.9,97.61,435.57,19.64,9.53,64.93,1.3,1,66.27
69,Grade_A,Grade_B,Grade_A → Grade_B,Day,103.53,104.13,479.65,36.32,6.38,36.88,0.58,1,44.37
70,Grade_C,Grade_A,Grade_C → Grade_A,Night,107.67,105.75,322.91,25.78,5.17,53.79,1.78,1,63.19
71,Grade_D,Grade_E,Grade_D → Grade_E,Evening,101.21,99.05,473.56,33.22,6.99,56.72,2.13,1,50.42
72,Grade_A,Grade_C,Grade_A → Grade_C,Day,101.31,104.15,420.46,26.45,12.77,53.17,2.8,0,69.44
73,Grade_C,Grade_A,Grade_C → Grade_A,Evening,108.24,111.93,408.79,26.05,11.88,71.97,3.41,0,80.35
74,Grade_A,Grade_C,Grade_A → Grade_C,Evening,99.41,96.07,339.09,24.77,9.68,66.15,3.36,1,76.61
75,Grade_D,Grade_B,Grade_D → Grade_B,Day,92.71,93.25,447.67,32.1,2.31,53.01,0.58,1,45.24
76,Grade_C,Grade_A,Grade_C → Grade_A,Day,95.86,94.1,287.22,21.83,9.44,42.18,1.84,1,73.54
77,Grade_B,Grade_D,Grade_B → Grade_D,Night,106.34,106.47,455.66,27.41,22.32,88.59,0.12,0,130.61
78,Grade_A,Grade_C,Grade_A → Grade_C,Day,100.03,102.1,337.93,33.67,4.17,46.28,2.07,1,47.19
79,Grade_C,Grade_E,Grade_C → Grade_E,Day,103.4,107.03,422.94,48.34,12.83,101.85,3.51,0,99.77
80,Grade_D,Grade_B,Grade_D → Grade_B,Day,106.7,112.09,413.45,40.46,19.36,99.23,5.05,0,117.19
81,Grade_E,Grade_A,Grade_E → Grade_A,Day,96.25,100.3,484.32,32.8,6.06,60.54,4.2,1,57.63
82,Grade_C,Grade_A,Grade_C → Grade_A,Night,107.56,104.11,410.17,24.41,13.99,77.96,3.2,0,94.78
83,Grade_A,Grade_C,Grade_A → Grade_C,Evening,103.79,101.22,381.82,36.4,7.45,62.22,2.48,1,69.25
84,Grade_D,Grade_E,Grade_D → Grade_E,Day,87.65,82.21,392.14,37.68,21.54,103.15,6.21,0,134.07
85,Grade_D,Grade_B,Grade_D → Grade_B,Night,114.42,114.11,490.01,37.76,3.5,68.97,0.27,1,49.61
86,Grade_D,Grade_B,Grade_D → Grade_B,Night,94.99,89.36,449.5,38.98,6.83,78.47,5.92,0,67.74
87,Grade_A,Grade_B,Grade_A → Grade_B,Day,83.45,82.95,398.79,30.2,6.87,66.94,0.6,1,66.55
88,Grade_B,Grade_D,Grade_B → Grade_D,Night,89.55,86.61,407.0,33.67,15.44,81.89,3.29,0,94.49
89,Grade_D,Grade_E,Grade_D → Grade_E,Day,89.79,91.75,333.81,28.13,7.14,67.1,2.18,1,73.45
90,Grade_D,Grade_E,Grade_D → Grade_E,Night,100.52,101.53,441.37,26.68,8.17,91.31,1.0,1,78.74
91,Grade_C,Grade_A,Grade_C → Grade_A,Evening,97.26,94.69,323.21,34.11,12.21,59.19,2.64,0,80.73
92,Grade_D,Grade_E,Grade_D → Grade_E,Evening,96.63,98.64,461.35,36.58,9.74,77.73,2.08,1,68.49
93,Grade_D,Grade_E,Grade_D → Grade_E,Day,106.2,109.7,427.07,41.81,13.82,87.36,3.29,0,95.86
94,Grade_C,Grade_A,Grade_C → Grade_A,Night,103.4,100.51,551.28,19.56,10.75,55.36,2.8,0,73.87
95,Grade_E,Grade_A,Grade_E → Grade_A,Day,103.16,102.56,359.49,37.13,3.49,41.52,0.58,1,47.81
96,Grade_B,Grade_D,Grade_B → Grade_D,Day,104.1,97.74,414.35,47.51,8.16,89.63,6.11,0,79.86
97,Grade_A,Grade_C,Grade_A → Grade_C,Day,106.16,101.72,518.91,38.86,11.63,75.73,4.18,0,90.21
98,Grade_D,Grade_B,Grade_D → Grade_B,Evening,78.92,74.92,485.53,26.59,15.38,77.78,5.06,0,96.43
99,Grade_D,Grade_B,Grade_D → Grade_B,Day,96.36,96.5,381.71,29.59,5.43,48.59,0.15,1,53.39
100,Grade_A,Grade_C,Grade_A → Grade_C,Night,78.2,73.92,432.32,47.06,12.95,97.67,5.48,0,97.22
101,Grade_D,Grade_E,Grade_D → Grade_E,Evening,100.36,99.54,420.11,27.88,4.56,58.64,0.82,1,46.17
102,Grade_A,Grade_C,Grade_A → Grade_C,Day,99.95,97.19,435.51,35.77,6.44,56.8,2.76,1,51.06
103,Grade_D,Grade_E,Grade_D → Grade_E,Day,110.46,110.88,381.57,25.15,7.07,84.05,0.38,1,66.56
104,Grade_A,Grade_B,Grade_A → Grade_B,Day,111.88,114.74,415.09,24.89,19.2,65.86,2.56,0,109.07
105,Grade_D,Grade_E,Grade_D → Grade_E,Evening,102.03,102.73,332.11,36.99,4.95,68.5,0.68,1,61.22
106,Grade_D,Grade_E,Grade_D → Grade_E,Night,95.0,95.09,427.43,47.38,20.61,125.53,0.09,0,137.98
107,Grade_D,Grade_E,Grade_D → Grade_E,Day,104.85,101.23,444.75,42.47,6.71,67.29,3.45,1,55.76
108,Grade_D,Grade_B,Grade_D → Grade_B,Night,94.72,93.94,407.49,39.94,3.58,65.88,0.82,1,49.21
109,Grade_C,Grade_A,Grade_C → Grade_A,Day,99.99,99.09,331.17,28.05,6.28,41.05,0.9,1,60.49
110,Grade_D,Grade_B,Grade_D → Grade_B,Night,109.86,108.76,474.37,51.83,7.82,90.17,1.0,1,85.34
111,Grade_B,Grade_D,Grade_B → Grade_D,Night,94.42,94.9,440.05,32.2,18.2,108.7,0.51,0,116.85
112,Grade_D,Grade_E,Grade_D → Grade_E,Evening,108.06,111.76,380.07,30.53,7.41,80.92,3.42,1,73.01
113,Grade_C,Grade_E,Grade_C → Grade_E,Evening,106.77,113.89,404.57,22.94,25.06,109.11,6.67,0,145.11
114,Grade_C,Grade_A,Grade_C → Grade_A,Night,90.45,84.97,337.46,41.77,15.87,85.32,6.06,0,114.66
115,Grade_C,Grade_E,Grade_C → Grade_E,Day,109.74,112.25,363.6,41.37,10.57,88.12,2.29,1,92.25
116,Grade_C,Grade_E,Grade_C → Grade_E,Day,106.99,108.38,390.42,48.88,6.2,94.28,1.3,1,73.97
117,Grade_A,Grade_B,Grade_A → Grade_B,Day,101.02,98.53,487.56,13.13,8.84,26.75,2.47,1,45.94
118,Grade_A,Grade_C,Grade_A → Grade_C,Evening,92.38,94.74,384.83,37.55,7.96,68.33,2.56,1,67.04
119,Grade_A,Grade_C,Grade_A → Grade_C,Evening,91.41,90.74,455.21,30.76,12.01,73.2,0.74,0,88.76
120,Grade_A,Grade_B,Grade_A → Grade_B,Evening,94.62,88.5,390.39,32.66,12.4,63.14,6.47,0,83.28
121,Grade_C,Grade_A,Grade_C → Grade_A,Night,105.43,110.77,433.64,19.19,33.54,103.58,5.07,0,177.02
122,Grade_D,Grade_B,Grade_D → Grade_B,Day,90.44,90.92,412.22,41.28,6.33,83.14,0.53,1,57.99
123,Grade_D,Grade_B,Grade_D → Grade_B,Evening,104.38,103.26,468.02,34.22,14.11,77.54,1.08,0,91.78
124,Grade_C,Grade_A,Grade_C → Grade_A,Day,87.58,87.5,390.59,31.12,5.75,61.38,0.09,1,65.17
125,Grade_D,Grade_E,Grade_D → Grade_E,Day,97.96,96.44,333.51,36.46,6.04,80.62,1.55,1,79.44
126,Grade_C,Grade_E,Grade_C → Grade_E,Evening,101.1,103.45,343.99,28.94,11.0,73.72,2.32,0,79.26
127,Grade_A,Grade_B,Grade_A → Grade_B,Night,124.45,124.36,390.75,26.47,6.05,47.71,0.07,1,49.08
128,Grade_D,Grade_E,Grade_D → Grade_E,Evening,86.23,86.47,351.3,25.1,4.16,57.79,0.28,1,48.41
129,Grade_C,Grade_E,Grade_C → Grade_E,Day,114.72,115.38,442.56,19.16,5.28,51.2,0.58,1,53.5
130,Grade_D,Grade_B,Grade_D → Grade_B,Evening,101.5,99.69,394.38,39.58,4.48,68.49,1.78,1,56.89
131,Grade_C,Grade_E,Grade_C → Grade_E,Day,104.11,101.99,550.6,37.63,6.78,82.34,2.04,1,65.93
132,Grade_C,Grade_E,Grade_C → Grade_E,Night,101.18,85.05,324.43,36.02,20.85,132.62,15.94,0,155.62
133,Grade_A,Grade_B,Grade_A → Grade_B,Evening,104.45,106.01,431.2,34.07,7.89,61.11,1.49,1,50.8
134,Grade_C,Grade_E,Grade_C → Grade_E,Day,98.46,95.05,357.96,31.53,8.03,74.74,3.46,1,71.08
135,Grade_D,Grade_E,Grade_D → Grade_E,Day,114.54,115.14,392.86,35.92,12.96,66.98,0.53,0,85.06
136,Grade_B,Grade_D,Grade_B → Grade_D,Day,95.44,96.64,427.78,30.46,9.26,69.43,1.26,1,73.97
137,Grade_C,Grade_E,Grade_C → Grade_E,Night,111.32,113.97,292.1,30.0,12.58,101.61,2.38,0,104.94
138,Grade_A,Grade_B,Grade_A → Grade_B,Day,93.56,91.05,433.03,35.97,5.96,53.36,2.69,1,48.69
139,Grade_B,Grade_D,Grade_B → Grade_D,Evening,99.4,99.26,524.66,30.14,5.97,83.61,0.14,1,70.93
140,Grade_C,Grade_A,Grade_C → Grade_A,Evening,89.28,93.92,395.06,40.82,7.94,80.43,5.2,0,68.73
141,Grade_E,Grade_A,Grade_E → Grade_A,Evening,104.55,109.23,434.29,26.78,7.79,63.09,4.47,1,62.89
142,Grade_A,Grade_C,Grade_A → Grade_C,Day,114.45,119.12,476.37,23.05,13.51,49.92,4.08,0,75.02
143,Grade_B,Grade_D,Grade_B → Grade_D,Night,99.23,100.46,410.98,46.64,10.46,97.02,1.24,1,97.71
144,Grade_C,Grade_A,Grade_C → Grade_A,Day,98.03,96.4,388.05,30.86,4.62,47.68,1.66,1,44.67
145,Grade_E,Grade_A,Grade_E → Grade_A,Evening,88.85,90.15,294.83,30.12,5.16,51.83,1.46,1,58.38
146,Grade_D,Grade_E,Grade_D → Grade_E,Evening,97.71,96.1,455.25,38.94,29.14,125.48,1.65,0,174.42
147,Grade_A,Grade_B,Grade_A → Grade_B,Evening,84.07,84.4,413.78,23.71,1.68,40.55,0.39,1,23.51
148,Grade_A,Grade_C,Grade_A → Grade_C,Night,90.87,86.86,364.3,36.22,18.11,87.59,4.41,0,116.23
149,Grade_D,Grade_E,Grade_D → Grade_E,Day,102.27,101.61,426.96,32.73,10.84,88.45,0.64,0,84.75
150,Grade_A,Grade_B,Grade_A → Grade_B,Evening,113.19,113.8,387.9,16.9,10.63,48.33,0.54,0,66.46
151,Grade_D,Grade_E,Grade_D → Grade_E,Day,128.09,129.42,390.94,33.2,15.43,71.94,1.04,0,99.87
152,Grade_B,Grade_D,Grade_B → Grade_D,Day,94.13,96.05,453.35,40.14,11.1,80.55,2.04,0,85.36
153,Grade_E,Grade_A,Grade_E → Grade_A,Day,114.35,113.05,346.39,28.28,6.4,55.19,1.14,1,57.13
154,Grade_B,Grade_D,Grade_B → Grade_D,Day,102.44,91.94,477.6,19.2,22.34,88.33,10.25,0,127.3
155,Grade_C,Grade_A,Grade_C → Grade_A,Day,98.49,105.72,343.13,20.33,12.71,50.88,7.34,0,86.1
156,Grade_D,Grade_B,Grade_D → Grade_B,Day,104.33,109.41,383.55,33.54,5.83,68.48,4.87,1,58.4
157,Grade_A,Grade_C,Grade_A → Grade_C,Day,100.62,103.53,525.76,30.26,18.61,75.17,2.9,0,107.07
158,Grade_C,Grade_E,Grade_C → Grade_E,Evening,101.1,98.77,482.0,29.68,5.02,60.92,2.3,1,50.3
159,Grade_C,Grade_E,Grade_C → Grade_E,Evening,95.92,89.26,425.37,32.45,24.62,99.76,6.94,0,140.77
160,Grade_D,Grade_E,Grade_D → Grade_E,Day,86.02,88.28,368.27,27.49,12.69,87.62,2.63,0,91.24
161,Grade_E,Grade_A,Grade_E → Grade_A,Day,84.56,85.6,390.89,35.57,2.22,61.86,1.23,1,50.35
162,Grade_D,Grade_B,Grade_D → Grade_B,Day,106.53,101.18,424.03,24.71,12.61,66.09,5.02,0,77.38
163,Grade_C,Grade_A,Grade_C → Grade_A,Evening,97.23,96.95,422.06,37.28,6.39,75.58,0.29,1,68.02
164,Grade_C,Grade_A,Grade_C → Grade_A,Day,94.04,94.4,415.0,28.6,5.2,56.02,0.38,1,47.03
165,Grade_C,Grade_A,Grade_C → Grade_A,Day,100.09,103.37,418.3,35.68,10.84,69.79,3.28,0,73.98
166,Grade_D,Grade_E,Grade_D → Grade_E,Day,107.95,106.72,408.21,29.83,10.25,66.07,1.14,1,78.23
167,Grade_B,Grade_D,Grade_B → Grade_D,Day,101.8,93.01,340.69,34.88,16.06,103.64,8.63,0,125.1
168,Grade_A,Grade_C,Grade_A → Grade_C,Day,93.44,94.04,391.59,37.38,2.75,60.9,0.64,1,46.79
169,Grade_B,Grade_D,Grade_B → Grade_D,Evening,112.26,117.53,470.3,37.19,13.39,83.2,4.69,0,95.66
170,Grade_A,Grade_B,Grade_A → Grade_B,Evening,115.79,115.5,344.74,30.89,10.14,55.79,0.25,1,72.55
171,Grade_A,Grade_B,Grade_A → Grade_B,Evening,104.95,106.76,409.57,24.69,12.76,60.67,1.72,0,79.02
172,Grade_A,Grade_B,Grade_A → Grade_B,Evening,109.74,108.81,374.91,38.53,5.59,45.31,0.85,1,46.36
173,Grade_D,Grade_E,Grade_D → Grade_E,Evening,112.42,104.49,426.12,32.53,26.79,117.52,7.05,0,162.03
174,Grade_D,Grade_B,Grade_D → Grade_B,Day,111.3,115.38,398.63,28.97,11.35,57.36,3.67,0,70.66
175,Grade_D,Grade_B,Grade_D → Grade_B,Evening,106.14,107.28,501.26,29.37,8.38,66.26,1.07,1,71.73
176,Grade_C,Grade_A,Grade_C → Grade_A,Evening,105.98,106.34,447.86,34.21,2.12,45.88,0.34,1,31.38
177,Grade_D,Grade_B,Grade_D → Grade_B,Day,105.2,108.7,347.85,24.33,6.65,51.98,3.32,1,59.16
178,Grade_A,Grade_C,Grade_A → Grade_C,Evening,89.03,83.88,456.92,30.02,13.95,65.11,5.78,0,87.67
179,Grade_E,Grade_A,Grade_E → Grade_A,Day,107.01,103.36,377.39,26.6,18.9,71.1,3.41,0,109.62
180,Grade_C,Grade_E,Grade_C → Grade_E,Evening,86.44,87.04,388.27,24.53,10.77,97.76,0.69,0,93.44
181,Grade_E,Grade_A,Grade_E → Grade_A,Evening,92.05,87.83,437.26,29.7,21.37,95.77,4.59,0,127.36
182,Grade_A,Grade_C,Grade_A → Grade_C,Night,113.04,114.61,392.95,30.15,5.73,71.37,1.39,1,65.59
183,Grade_C,Grade_A,Grade_C → Grade_A,Night,108.4,107.64,469.11,18.95,11.56,60.46,0.7,0,71.08
184,Grade_D,Grade_B,Grade_D → Grade_B,Evening,114.87,110.82,377.4,24.42,11.66,75.18,3.52,0,85.9
185,Grade_C,Grade_A,Grade_C → Grade_A,Evening,97.28,97.56,385.96,32.49,12.01,78.7,0.28,0,88.76
186,Grade_C,Grade_A,Grade_C → Grade_A,Evening,88.48,89.02,383.9,31.9,9.12,55.32,0.61,1,69.41
187,Grade_A,Grade_C,Grade_A → Grade_C,Day,97.6,100.96,388.89,32.6,10.28,64.23,3.44,1,74.0
188,Grade_C,Grade_A,Grade_C → Grade_A,Night,101.02,101.73,480.46,17.29,5.19,30.81,0.71,1,42.33
189,Grade_A,Grade_C,Grade_A → Grade_C,Evening,100.79,103.78,454.58,19.99,18.5,80.26,2.96,0,108.27
190,Grade_B,Grade_D,Grade_B → Grade_D,Day,111.34,113.07,514.05,45.16,15.42,110.57,1.55,0,113.83
191,Grade_D,Grade_B,Grade_D → Grade_B,Day,96.39,95.71,544.72,24.01,10.34,55.5,0.71,1,66.03
192,Grade_D,Grade_B,Grade_D → Grade_B,Night,103.52,99.41,363.31,35.23,16.39,77.21,3.97,0,100.24
193,Grade_C,Grade_E,Grade_C → Grade_E,Day,90.11,92.16,423.87,26.85,20.28,99.62,2.28,0,121.63
194,Grade_B,Grade_D,Grade_B → Grade_D,Day,104.5,103.0,355.31,41.13,12.84,79.94,1.43,0,93.24
195,Grade_E,Grade_A,Grade_E → Grade_A,Day,100.03,115.63,377.23,21.17,26.38,74.62,15.6,0,142.2
196,Grade_A,Grade_B,Grade_A → Grade_B,Day,92.5,98.0,385.35,30.23,11.71,63.38,5.95,0,79.17
197,Grade_B,Grade_D,Grade_B → Grade_D,Day,97.64,98.89,361.86,27.97,5.66,64.09,1.28,1,58.92
198,Grade_A,Grade_B,Grade_A → Grade_B,Evening,98.16,99.41,362.15,24.31,9.4,48.98,1.27,1,70.53
199,Grade_B,Grade_D,Grade_B → Grade_D,Day,97.3,96.81,412.06,21.35,15.99,66.43,0.51,0,99.51
200,Grade_E,Grade_A,Grade_E → Grade_A,Night,117.71,109.09,353.08,31.38,19.53,94.33,7.32,0,131.96
201,Grade_B,Grade_D,Grade_B → Grade_D,Night,99.02,98.14,466.32,29.23,11.58,80.9,0.88,0,81.61
202,Grade_E,Grade_A,Grade_E → Grade_A,Day,97.56,97.71,369.52,32.16,4.22,41.94,0.15,1,40.91
203,Grade_C,Grade_A,Grade_C → Grade_A,Day,79.03,79.57,560.0,47.09,6.66,60.29,0.68,1,63.73
204,Grade_D,Grade_B,Grade_D → Grade_B,Evening,91.06,91.74,395.17,34.74,4.15,66.9,0.75,1,54.75
205,Grade_C,Grade_A,Grade_C → Grade_A,Day,97.37,101.51,423.96,37.54,12.85,67.35,4.26,0,80.94
206,Grade_B,Grade_D,Grade_B → Grade_D,Day,93.14,91.39,348.76,27.33,7.24,51.67,1.88,1,63.76
207,Grade_D,Grade_E,Grade_D → Grade_E,Night,113.82,111.92,513.84,26.84,7.94,86.87,1.67,1,79.6
208,Grade_E,Grade_A,Grade_E → Grade_A,Night,98.35,106.13,481.57,24.64,15.32,50.36,7.91,0,79.03
209,Grade_B,Grade_D,Grade_B → Grade_D,Evening,112.88,118.9,436.33,43.31,22.31,105.86,5.33,0,137.19
210,Grade_D,Grade_E,Grade_D → Grade_E,Day,100.62,99.73,345.93,24.66,6.52,58.69,0.89,1,66.23
211,Grade_B,Grade_D,Grade_B → Grade_D,Evening,100.37,99.97,431.59,28.16,10.72,75.34,0.4,0,74.31
212,Grade_D,Grade_B,Grade_D → Grade_B,Evening,99.11,98.82,358.32,28.03,8.16,70.52,0.3,1,73.55
213,Grade_D,Grade_E,Grade_D → Grade_E,Day,100.04,100.26,500.43,25.4,20.27,95.26,0.22,0,118.87
214,Grade_C,Grade_A,Grade_C → Grade_A,Evening,117.19,118.5,464.51,18.76,7.91,38.65,1.12,1,45.01
215,Grade_D,Grade_B,Grade_D → Grade_B,Day,76.8,80.81,425.25,23.03,4.52,52.19,5.22,0,42.27
216,Grade_B,Grade_D,Grade_B → Grade_D,Day,79.98,80.58,286.0,28.62,9.09,72.68,0.76,1,87.11
217,Grade_A,Grade_B,Grade_A → Grade_B,Evening,94.57,98.32,365.91,21.67,16.19,47.43,3.97,0,86.86
218,Grade_A,Grade_B,Grade_A → Grade_B,Day,100.15,96.45,457.83,19.08,6.26,51.72,3.69,1,47.77
